character-simplified|pinyin|definition
吧|ba|bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧/贴吧[tie1 ba1]; (modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.; (onom.) smack!
白|bái|surname Bai; white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera
百|bǎi|surname Bai; hundred; numerous; all kinds of
帮助|bāngzhù|assistance; aid; to help; to assist
报纸|bàozhǐ|newspaper; newsprint; CL:份[fen4],期[qi1],張/张[zhang1]
比|bǐ|Belgium; Belgian; abbr. for 比利時/比利时[Bi3 li4 shi2]; euphemistic variant of 屄[bi1]; (particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; to associate with; to be near
别|bié|surname Bie; to leave; to depart; to separate; to distinguish; to classify; other; another; don't ...!; to pin; to stick (sth) in; to make sb change their ways, opinions etc
长|cháng|length; long; forever; always; constantly; chief; head; elder; to grow; to develop; to increase; to enhance
唱歌|chànggē|to sing a song
出|chū|to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc; variant of 出[chu1] (classifier for plays or chapters of classical novels)
穿|chuān|to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread
船|chuán|variant of 船[chuan2]; boat; vessel; ship; CL:條/条[tiao2],艘[sou1],隻/只[zhi1]
次|cì|next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
从|cóng|surname Cong; from; through; via; to follow; to obey; to engage in (an activity); never (in negative sentence); (Taiwan pr. [zong4]) retainer; assistant; auxiliary; subordinate; related by common paternal grandfather or earlier ancestor
错|cuò|surname Cuo; mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver
大家|dàjiā|everyone; influential family; great expert
但是|dànshì|but; however
到|dào|to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action)
